family_name,book_page_no,pdf_page_no,region_index,status,crop_path,paragraph_text,raw_json_path,error
Barton-McCombie Radical Deoxygenation Reaction,47,99,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\047_Barton_McCombie_Radical_Deoxygenation_Reaction_r1.png,"S.J. Danishefsky and co-workers developed a synthetic route to the neurotrophic illicinones and a total synthesis of the natural product tricycloillicinone.28 Illicinones were found to enhance the action of choline acetyltransferase, which catalyzes the synthesis of acetylcholine from its precursors. The application of Corey-Snider oxidative cyclization and the Barton-McCombie radical deoxygenation provided a direct route to tricycloillicinone.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Barton-McCombie Radical Deoxygenation Reaction,47,99,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\047_Barton_McCombie_Radical_Deoxygenation_Reaction_r2.png,"In the laboratory of V. Singh a novel and efficient stereospecific synthesis of the marine natural product (±)-Δ9(12)- capnellene from p-cresol was developed.29 After rapidly assembling the desired carbon framework, it was necessary to remove the carbonyl group from the tricyclic intermediate which was accomplished using Barton’s deoxygenation procedure.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Barton-McCombie Radical Deoxygenation Reaction,47,99,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\047_Barton_McCombie_Radical_Deoxygenation_Reaction_r3.png,"F. Luzzio and co-workers devised a total synthesis for both antipodes of the (–)-Kishi lactam, which is a versatile intermediate for the synthesis of the perhydrohistrionicotoxin (pHTX) alkaloids.30 In the final stages of the synthesis of the (-)-Kishi lactam, it was necessary to remove one of the secondary alcohol groups. The Barton radical deoxygenation protocol was utilized for this operation.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Barton-McCombie Radical Deoxygenation Reaction,47,99,4,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\047_Barton_McCombie_Radical_Deoxygenation_Reaction_r4.png,"R.H. Schlessinger et al. have successfully synthesized the α,β-unsaturated octenoic acid side chain of zaragozic acid, which contains acyclic “skip” 1,3 dimethyl stereocenters.31 Their approach utilized the Barton radical deoxygenation reaction in the last step of the total synthesis for the removal of the unnecessary hydroxyl group.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Diels-Alder Cycloaddition,141,193,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\141_Diels_Alder_Cycloaddition_r1.png,"The intramolecular Diels-Alder cycloaddition is a very powerful synthetic tool, since it can generate molecular complexity in a single step. S. Antus and co-workers obtained reactive cyclohexa-2,4-dienones by dearomatizing o- methoxyphenols with hypervalent iodine reagents (e.g., PIDA). These dienones rapidly dimerized to give heavily substituted complex tricyclic compounds. The dearomatization of 2,6-dimethoxy-4-allyllphenol with PIDA/methanol resulted in the formation of the natural product asatone in a single step.87",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Diels-Alder Cycloaddition,141,193,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\141_Diels_Alder_Cycloaddition_r2.png,The total synthesis of the rubrolone aglycon was accomplished in the laboratory of D.L. Boger as part of the ongoing research to explore the cycloaddition reaction of cyclopropenone ketals.88 The key step in the production of the seven-membered C-ring was the intermolecular Diels-Alder reaction of an electron-rich diene with the very strained dienophile. The cycloaddition took place in excellent yield (97%) and with complete disastereoselectivity.,,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Diels-Alder Cycloaddition,141,193,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\141_Diels_Alder_Cycloaddition_r3.png,The critical step in the enantioselective and stereocontrolled total synthesis of eunicenone A by E.J. Corey et al. was the highly efficient chiral Lewis acid catalyzed intermolecular Diels-Alder cycloaddition reaction.89 The diene component was mixed with 5 equivalents of 2-bromoacrolein and 0.5 equivalents of the chiral oxazaborolidine catalyst in CH2Cl2 at -78 °C for 48h. The reaction gave 80% of the desired cycloadduct in 97% ee and the endo/exo selectivity was 98:2.,,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Diels-Alder Cycloaddition,141,193,4,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\141_Diels_Alder_Cycloaddition_r4.png,Certain functional groups can direct through hydrogen-bonding the outcome of the intermolecular Diels-Alder cycloaddition. This was the case in the key Diels-Alder cycloaddition step during the total synthesis of ( )-rishirilide B in the laboratory of S.J. Danishefsky.90 The diene was thermally generated in situ.,,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Pinner Reaction,353,405,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\353_Pinner_Reaction_r1.png,"The first stereoselective total synthesis of AI-77B, a gastroprotective substance, was accomplished by Y. Hamada and co-workers.19 In the final stages of the synthetic effort, the intramolecular Pinner reaction was utilized to convert the cyano group into the corresponding carboxylic acid. The nitrile substrate was dissolved in 5% HCl in methanol, and excess trimethyl orthoformate was added at 5 °C and the reaction mixture was stirred at this temperature for almost two days. Next, the cyclic imino ether hydrochloride salt was treated with water at room temperature followed by basic hydrolysis. Finally, the pH was adjusted with HCl to obtain the natural product.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Pinner Reaction,353,405,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\353_Pinner_Reaction_r2.png,"In the laboratory of R.B. Grossman both the putative and the actual structure of the naturally occurring clerodane diterpenoid (±)-sacacarin was prepared.20 A cyclic geminal dinitrile intermediate was subjected to the conditions of the Pinner reaction by passing dry HCl gas through the solution of the substrate in absolute ethanol at room temperature. Under these conditions, only the equatorial cyano group was converted to the imino ethyl ether hydrochloride salt. Most likely the axial cyano group was too sterically hindered, therefore it did not react. The imino ether then was hydrolyzed with concentrated aqueous hydrochloric acid to give the corresponding ethyl ester.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Pinner Reaction,353,405,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\353_Pinner_Reaction_r3.png,"The synthesis of enantiomerically pure nonpeptidic inhibitors of thrombin, a key serine protease in the blood- coagulation cascade, was carried out by F. Diederich et al.21 These ligands have a conformationally rigid tricyclic core, and the appended substituents fill the major binding pockets at the thrombin active site. The required amidine functionality on the aromatic ring of one of these inhibitors was prepared from the corresponding aromatic nitrile via the Pinner reaction. The substrate was dissolved in a mixture of dry methanol and chloroform, and dry HCl gas bubbled through the solution for 10 minutes until saturation. The reaction mixture then was stored at 4 °C for one day, and then the imino ether was isolated by filtration. The methanolic solution of ammonia was added to the solution of the imino ether in methanol, and the resulting solution was heated at 65 °C for a few hours to achieve complete conversion to the amidinium salt.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Ritter Reaction,383,435,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\383_Ritter_Reaction_r1.png,"The enantioselective biomimetic total synthesis of the alkaloid (+)-aristotelone was accomplished by C.H. Heathcock and co-workers.41 The synthetic sequence commenced with a Hg(NO3)2-mediated Ritter reaction between (1S)-(–)-β- pinene and 3-indolylacetonitrile. Upon protonation, the pinene underwent a Wagner-Meerwein rearrangement to generate a tertiary carbocation which reacted with the cyano group. The initially formed imine product was reduced to the corresponding amine by sodium borohydride in methanol.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Ritter Reaction,383,435,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\383_Ritter_Reaction_r2.png,"In the laboratory of T.-L. Ho, the total synthesis of the novel marine sesquiterpene (±)-isocyanoallopupukeanane was completed.42 In the endgame of the synthesis, it was necessary to install the isocyano group onto the tricyclic trisubstituted alkene substrate so that it will occupy the more substituted carbon atom (according to Markovnikov's rule). The Ritter reaction was chosen to form the required carbon-nitrogen bond. The alkene substrate was dissolved in glacial acetic acid and first excess sodium cyanide followed by concentrated sulfuric acid was added at 0 °C. The reaction mixture was stirred at ambient temperature for one day and then was subjected to aqueous work-up. The product N-alkyl formamide was subsequently dehydrated with tosyl chloride in pyridine to give rise to the desired tertiary isocyanide which indeed was identical with the natural product.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Ritter Reaction,383,435,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\383_Ritter_Reaction_r3.png,"Interestingly, the standard Ritter reaction conditions (strong acid) led to extensive decomposition of both starting materials, but the use of HBF4 in ether gave rise to the desired dihydroisoquinoline, albeit in poor yield.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Ritter Reaction,383,435,4,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\383_Ritter_Reaction_r4.png,The intramolecular Ritter reaction was utilized by F. Compernolle and co-workers for the synthesis of a potential dopamine receptor ligand.43 The six-membered lactam ring was formed upon treatment of the tertiary benzylic alcohol substrate with methansulfonic acid. The benzylic carbocation was captured by the nitrogen of the cyano group.,,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Schwartz Hydrozirconation,401,453,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\401_Schwartz_Hydrozirconation_r1.png,"The hydrozirconation of polyunsaturated substrates can be plagued by extensive isomerization of double bonds. However, under carefully controlled reaction conditions, synthetically useful functionalization of conjugated polyenes can be realized. During the total synthesis of curacin A by P. Wipf and co-workers, a one-carbon homologation of conjugated triene substrate was achieved by hydrozirconation followed by an electrophile-trapping step.36 The rate of formation of the desired terminal alkylzirconocene derivative was slow but was accomplished by heating the reaction mixture at 40 °C overnight. The treatment of the alkylzirconocene with n-butyl isocyanide and subsequent hydrolysis of the corresponding iminoylzirconocene with HCl gave the expected aldehyde in 54% yield.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Schwartz Hydrozirconation,401,453,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\401_Schwartz_Hydrozirconation_r2.png,"The total synthesis of apoptolidin was accomplished in the laboratory of K.C. Nicolaou.37 The key C12-C28 vinyl iodide fragment was prepared using the Schwartz hydrozirconation of an internal alkyne followed by trapping of the alkenylzirconium intermediate with iodine (I2). The vinyl iodide was formed as a 6:1 mixture of regioisomers. Under the reaction conditions, the methyl orthoester was converted to the methyl glycoside moiety at C21, which was presumably facilitated by the complexation of Zr with the pyranoside oxygen atom.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Schwartz Hydrozirconation,401,453,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\401_Schwartz_Hydrozirconation_r3.png,"The key step to construct the pyrrolidine ring was the nickel-catalyzed coupling of an alkynyl enone with an in situ formed alkenylzirconium. The terminal alkyne was then exposed to the Schwartz reagent, and subsequently the alkynyl enone was added along with catalytic amounts of Ni(COD)2 and ZnCl2. The initial alkenylzirconium regioselectively added across the internal alkyne and was first transmetallated to an organozinc and subsequently to an organonickel intermediate. This organonickel compound underwent an intramolecular 1,4-addition with the enone to form the pyrrolidine ring. This one-pot operation set all the necessary stereocenters of the natural product including the stereoselective formation of the highly substituted 1,3-diene side-chain.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Swern Oxidation,451,503,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\451_Swern_Oxidation_r1.png,"The first total synthesis of the marine dolabellane diterpene (+)-deoxyneodolabelline was achieved in the laboratory of D.R. Williams.17 In the final step of the synthetic sequence, the oxidation of a secondary alcohol functionality of a 1,2-diol to the corresponding α-hydroxy ketone was required. Such 1,2-diols are known to be unstable under most oxidation conditions, and often glycol cleavage is observed. Indeed, when Dess-Martin and Ley oxidations were tried, the substrate suffered carbon-carbon bond cleavage. However, under the Swern oxidation conditions, the desired α- hydroxy ketone was isolated in a 65% yield. Interestingly, the substrate was a mixture of four inseparable diastereomeric diols (obtained in a McMurry reaction), which gave two easily separable ketone products, one of which was the natural product.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Swern Oxidation,451,503,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\451_Swern_Oxidation_r2.png,"S.F. Martin and co-workers utilized a double Swern oxidation in their synthesis of ircinal A and related manzamine alkaloids.18 The advanced tricyclic diol intermediate was first subjected to the Swern oxidation conditions at -78 °C to afford the corresponding dialdehyde in excellent yield. In the next step, the dialdehyde was exposed to excess Wittig reagent under salt-free conditions to form the two terminal alkenes.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Swern Oxidation,451,503,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\451_Swern_Oxidation_r3.png,"The convergent total synthesis of the mytotoxic (+)-asteltoxin was accomplished by J.K. Cha et al.19 The coupling of the two main fragments was achieved by the HWE olefination of a bis(tetrahydrofuran) aldehyde with an α-pyrone phosphonate. The bis(tetrahydrofuran) aldehyde was prepared by the Swern oxidation of the corresponding bis(tetrahydrofuran) primary alcohol. Interestingly, under the oxidation conditions there was no epimerization of the α- stereocenter, but during the HWE olefination a small amount of C8 epimer was formed.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Tsuji-Wilkinson Decarbonylation Reaction,461,513,1,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\461_Tsuji_Wilkinson_Decarbonylation_Reaction_r1.png,"In the laboratory of F.E. Ziegler, the synthesis of the core nucleus of FR-900482 was accomplished.28 In the final stages of the synthetic effort, the removal of the formyl group from the C7 quaternary center was necessary. The authors chose the Tsuji-Wilkinson decarbonylation protocol to effect the transformation. The 1,3-diol functionality was protected as the acetonide prior to the decarbonylation. Usually the rate of decarbonylation is slowest for aldehydes that have the formyl group attached to a quaternary carbon, so it was necessary to use more than two equivalents of the catalyst to effect the decarbonylation at the reflux temperature of xylene.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Tsuji-Wilkinson Decarbonylation Reaction,461,513,2,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\461_Tsuji_Wilkinson_Decarbonylation_Reaction_r2.png,"The research team of D.F. Covey developed a synthetic route to convert 5β-methyl-3-ketosteroids into 7(S)-methyl substituted analogues of neuroactive benz[e]indenes.29 The synthesis began with 19-nortestosterone, in which the α,β-unsaturated cyclic ketone moiety was degraded to afford a tricyclic aldehyde. This aldehyde was unstable and could not be stored. For this reason it was immediately subjected to the Tsuji-Wilkinson decarbonylation to afford the decarbonylated product in high yield.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Tsuji-Wilkinson Decarbonylation Reaction,461,513,3,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\461_Tsuji_Wilkinson_Decarbonylation_Reaction_r3.png,"The total synthesis of (–)-gomisin J, a biologically active dibenzocyclooctane lignan, was completed by M. Tanaka and co-workers.30 At the end of the synthesis, the removal of two aromatic formyl groups was needed. The exposure of the dialdehyde substrate to a little more than one equivalent of Wilkinson's catalyst and heating at reflux for two days afforded the deformylated product in excellent yield. The removal of the benzyl groups under catalytic hydrogenation conditions provided the natural product. Interestingly, the authors found that the decarbonylation could also be achieved via a retro-Friedel-Crafts reaction, which is a successful strategy only with electron-rich aromatic compounds.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
Tsuji-Wilkinson Decarbonylation Reaction,461,513,4,error,C:\chemlens\backend\reports\pdf_example_automation\20260419_110703\crops\461_Tsuji_Wilkinson_Decarbonylation_Reaction_r4.png,"The isodaucane sesquiterpene (+)-aphanamol I was synthesized in the laboratory of B. Wickberg using the DeMayo cycloaddition as the key step.31 The required starting material 3(S)-isopropyl-1-methylcyclopentene was prepared by the Tsuji-Wilkinson decarbonylation of the corresponding α,β-unsaturated aldehyde.",,429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent?key=<REDACTED>
